round,numSession,groupInRound,CV,bid1,signal1,bid2,signal2,bid3,signal3,bid4,signal4,OtherHBid,StratWin,subject,treatment,male,age,major,CRT1,CRT2,CRT3,N_s,advice,alpha,belief_other,beta,bid_pref,choice_pref,dRedChosen,dTie,dWin,displayLotto,endowment,epsilon,explain1,explain2,explain3,explain4,groupRandomN,guess,lotteryid,pLotto,partFee,paymentRound,playerInGroup,q1abid65,q1bbid70,q1cbid75,q1dbid80,q1ebid85,randomPrice,sesIDNum,ticket,vLotto,winBid,lowbound,upbound,rrange,fix,euv,smeuv,rec_round,lottoRound,rec_lottoRound,expV,NEcomp,nbid,BEbid,NEbid,BEBF,NEBF,BF,thBF,loss,fixHigh,DeuvH,correctAns,maxbid,lottery,Highprob,Highval,rec_lround,fixsmeuv,Lpayoff,bidofix,lnbidofix,CVsmeuv,CVeuv,CVepsilon,CVfixHigh,CVHighprob,CVHighval,CVHHprobval,lnbid,lnNEbid,lnBEbid,lnnbid,lnfix,lnsignal,lneuv,HHprobval,epsHigh,bidofix100,NEbidofix100,BEbidofix100,CVlnfix,CVlnsignal,nmexpV,NEmnbid,nmexpV2,CVexpV,CVnmexpV,CVnmexpV2,CVepsHigh,CVNEmnbid,countWin,L1loss,L1Lpayoff,L1payoff,payoff,payoff1groupid_in_subsession,payoff1playerid_in_group,payoff1playerphase_one_payoff,payoff1playerphase_two_payoff,payoff1playertotal_payoff_dol,payoff1subsessionround_number,payoffFinal,payoffLotteryType,payoffPartFee,payoffPhaseTwoReal,payoffPlayLotto,payoffPlayerPayoff,payoffRandomChipId,payoffRandomCutoff,payoffRedChips,payoffRound,payoffTaskNum,payoffTotalChips,taskChoice,taskCutoff,taskDieSide,maxV,domnBid,domnBid2,overbid,dmaxVsig,bidofixoeuv,smeuvoeuv,epsilonoeuv,testCV,testCP,Utype,CEnorm,averse,consistency,CEnorm1,CEnorm2,CEnorm3,CEnorm2c,CEnorm3c,RP,CRP,AP,aver1,aver2,aver3,bidhatCV,bidhatCP,sumNGroup,Grrange,GdomnBid,upticket,StratProfit
7,6,1,0,54,54,55,55,31,56,20,56,55,56,98,cp,0,29,Bioinformatics,10,5,47,4,12,10,"if signal is under 50% careful;ly buid, if over 50% bid freely.",70,-1,-1,1,0,0,1,12,4,"If the winning value is 75 and the signal indicates a probability of around 50%, i bidforan amount a little overthan 50% because that is a high chance of winning the lottery, but the payoff would be too low if the bif a lot more than 50% of the value. When the probability is much closerto 100 % like80-90% i big much closer to the value of the win becuase chances of winning the lottery are high and people would probably bid more for their auctions, so something like bidding 65.",If you win you get atleast 13 credits. if you lose you lose lessthan 15 credits.,chances of winning seem overall higher,chances of winning seem overall higher,25,0,4,55,10,,3,35,45,59,70,65,,7,60,60,55,14,66,1,60,40,16,.14285715,7,.14285715,24,1.2132096e-09,33.599998,32.16,31.200001,-1.1599998,-.20000076,-2.5999985,2.3999977,0,1,0,2,60,0,0,1,.14285715,16,0,.51666665,-.66035742,0,0,0,0,0,0,,3.4339871,3.440418,3.4707234,3.5145261,4.0943446,4.0253515,3.6888795,0,0,51.666664,52,53.599998,0,0,9.5999985,-2.3999977,92.159973,0,0,0,0,0,15,0,0,0,0,1,7,0,150,28.25,1,18,1,28,150,1,0,9,69,15,57,4,30,,,,60,0,0,-29,4,.012916666,.40000001,.1,55.148006,31.176237,,,,,1.15,-.083333343,.16666663,,,-.14999998,-.083333343,.16666663,-1,1,1,55.148006,31.176237,4,1,1,.53600001,31.16
8,2,2,0,1,46,50,46,34,47,28,47,50,51,27,cp,1,22,Computer Science,5,80,30,4,0,30,"In my group, somehow the bid was most of the times higher than the lottery outcome. They might have won the lottery but they lost points. I think the range of bidding was not explained clearly",90,-1,-1,0,0,0,1,12,4,"It doesn't make sense to place any bid when the probability values are low. Till and until the probability is really high, I have put 0's because the maximum that you can earn (if you are lucky) then 8 credits which corresponds to nearly $1 and 0.75 of $1 is 75 cents. So basically maximum you can earn is 75cents but if you bid high like 44 and lose, here you are losing a lot. I'd rather have 0 earnings than negative earnings",The same answer as the previous one. Here the False Positives come with a big penalty,"I would just like to earn something. In Lottery A you get 75 and in B minimum is 60, so I might be losing out on 0.75*(75-60) but atleast B is less risky",Same as previous,86,0,3,43,10,,3,0,0,0,0,68,,15,0,40,50,34,86,1,40,60,-13,.125,8,.125,24,.0024055026,18.799999,17.84,17.200962,16.16,16.799038,15.200001,1.5990372,0,0,1,1,60,0,1,0,.125,0,0,.85000002,-.1625189,0,0,0,0,0,0,,3.5263605,2.8449652,2.881443,2.9338567,3.6888795,3.8501475,4.0943446,0,0,85,43.002403,44.599998,0,0,-5.2000008,-1.5990372,27.040009,0,0,0,0,0,3,0,0,0,0,1,15,0,130,27.416666,1,17,1,27,0,0,0,19,130,15,42,4,30,,,,40,0,0,-6,-7,.014166667,-.21666667,.06666667,33.433147,14.569475,,,,,1.1733333,.20499995,-.0050000548,,,-.17333329,.20499995,-.0050000548,-1,1,1,33.433147,14.569475,4,1,1,.44600001,16.84
8,2,4,0,20,80,0,80,18,82,28,86,20,21,28,cp,1,28,economics,5,1,47,4,20,30,random and people didn't look at valuation of the lottery,90,0,0,0,0,1,1,12,4,i looked at both signals and possible gain,bid lower than 30,they seem the same,same,58,28,3,83,10,,1,30,30,36,50,65,,16,40,40,28,34,86,1,40,60,26,.125,8,.125,24,8.1745426e-12,34.400002,33.439999,32.799999,-5.4399986,-4.7999992,-6.4000015,1.6000023,0,0,1,2,60,0,1,0,.125,0,0,.69999999,-.35667497,0,0,0,0,0,0,,3.3322046,3.4904284,3.5097528,3.5380566,3.6888795,4.4543471,4.0943446,0,0,70,82,83.599998,0,0,10.400002,-1.6000023,108.16003,0,0,0,0,0,2,0,0,0,12,1,16,0,66,24.75,1,15,3,25,0,0,0,18,66,11,76,3,20,,,,40,0,0,-12,-46,.011666667,.43333334,.06666667,58.489651,32.534855,,,,,.68666667,.10666668,.031666666,,,.31333333,.10666668,.031666666,1,1,1,58.489651,32.534855,4,1,1,.83599997,32.439999
9,2,2,0,0,41,28,44,0,46,30,48,28,29,15,cp,1,24,Electrical Engineering,10,20,24,4,10,30,"Higher probability of non zero outcome, they bid large values and the reverse for lower probability values",90,-1,-1,0,0,1,1,12,4,"Greater the probability, better the chances of winning the value mentioned as the outcome so I bid high values","With lower probability, the value could end up to be zero so no use of bidding for negative payoff",Better chance of winning a significant value,Higher probability for lottery B will likely be my option,75,10,3,44,10,,3,58,58,60,65,62,,3,0,40,30,34,86,1,40,60,-12,.11111111,9,.11111111,24,.0014590111,19.200001,18.24,17.600584,11.76,12.399416,10.799999,1.5994167,1,0,1,0,60,0,1,0,.11111111,0,-30,.75,-.28768209,0,0,0,0,0,0,,3.4011974,2.8679321,2.9036169,2.9549103,3.6888795,3.871201,4.0943446,0,0,75,44.001461,45.599998,0,0,-4.7999992,-1.5994167,23.039993,0,0,0,0,0,25,0,0,0,-30,1,3,0,0,22,1,12,1,22,0,1,0,18,47,10,73,1,20,,,,40,0,0,-10,-8,.0125,-.2,.06666667,34.177109,15,,,,,1.4,.10666668,.53666663,,,-.39999998,.10666668,.53666663,-1,1,1,34.177109,15,4,1,1,.456,17.24
10,2,4,0,24,77,0,77,34,83,12,84,34,35,18,cp,1,25,IE,10,100,24,4,34,30,random number were thrown by others,90,1,1,1,0,0,1,12,4,choosing lower limit is a safer option,the highest bidder wins,higher payoff,higher payoff,74,24,3,80,10,,4,62,66,75,73,80,,6,40,40,34,34,86,1,40,60,24,.1,10,.1,24,2.2220710e-11,33.599998,32.639999,32,-20.639999,-20,-21.599998,1.5999985,0,0,1,0,60,0,1,0,.1,0,0,.30000001,-1.2039728,0,0,0,0,0,0,,2.4849067,3.4657359,3.4855385,3.5145261,3.6888795,4.4308167,4.0943446,0,0,30.000002,80,81.599998,0,0,9.5999985,-1.5999985,92.159973,0,0,0,0,0,11,0,0,0,0,1,6,0,62,24.583334,1,15,2,25,0,0,0,11,62,17,6,2,20,,,,40,2,1,-28,-44,.0050000004,.40000001,.06666667,57.404144,31.555187,,,,,.25,.0016666688,-.07,,,.75,.0016666688,-.07,1,1,1,57.404144,31.555187,4,1,1,.81599998,31.639999
11,2,4,0,30,39,6,40,0,42,0,46,30,31,18,cp,1,25,IE,10,100,24,4,34,10,random number were thrown by others,70,1,1,1,0,0,2,12,4,choosing lower limit is a safer option,the highest bidder wins,higher payoff,higher payoff,4,24,2,42,10,,1,62,66,75,73,80,,6,40,40,30,14,66,1,40,40,6,.090909094,1,1,16,1.8005628e-07,18.4,17.440001,16.799999,-17.440001,-16.799999,-18.4,1.6000004,0,0,0,0,60,0,0,0,1,0,0,0,,0,0,0,0,0,0,,-4.6051702,2.8213789,2.8587666,2.9123507,3.6888795,3.8286414,3.6888795,0,0,0,42,43.600002,0,0,2.3999996,-1.6000004,5.7599983,0,0,0,0,0,11,0,0,0,0,1,6,0,62,24.583334,1,15,2,25,0,0,0,11,62,17,6,2,20,,,,40,2,1,-40,-6,0,.15000001,.1,35.577427,16.29681,,,,,.25,.0016666688,-.07,,,.75,.0016666688,-.07,1,1,1,35.577427,16.29681,4,1,1,.43600002,16.440001
11,6,1,0,20,33,25,36,20,37,0,37,25,26,100,cp,1,25,public health,10,5,4,4,0,10,they bids were so random i have no idea...,70,-1,-1,1,0,0,2,12,4,"its better to be sure that you win the bid if your probablity is high and make small gains, instead of trying to make big gains on low probablities and loosing a lot of money when the lottery is 0",more liekly to not play the lottery and loose money,higher chance,higher chance,85,0,2,35,10,,2,50,60,70,70,80,,9,0,40,25,14,66,1,40,40,-3,.090909094,1,1,16,.000016208151,14.8,13.84,13.200006,-13.84,-13.200006,-14.8,1.5999937,0,0,0,1,60,0,0,0,1,0,0,0,,0,0,0,0,0,0,,-4.6051702,2.5802174,2.627563,2.6946273,3.6888795,3.6109178,3.6888795,0,0,0,33.000015,34.599998,0,0,-1.1999998,-1.5999937,1.4399996,0,0,0,0,0,10,0,0,0,0,1,9,0,0,22,1,12,2,22,0,1,0,18,33,20,21,2,20,,,,40,0,0,-40,3,0,-.075000003,.1,29.551819,12.221808,,,,,1.2316667,-.040000021,.035000026,,,-.23166668,-.040000021,.035000026,-1,1,1,29.551819,12.221808,4,1,1,.34600002,12.84
12,2,1,0,30,51,32,53,34,53,10,54,34,35,28,cp,1,28,economics,5,1,47,4,20,10,random and people didn't look at valuation of the lottery,70,0,0,0,0,0,2,12,4,i looked at both signals and possible gain,bid lower than 30,they seem the same,same,27,28,2,53,10,,3,30,30,36,50,65,,16,40,40,34,14,66,1,40,40,14,.083333336,2,.5,16,3.2978458e-09,21.6,20.639999,20,-10.639999,-10,-11.6,1.6000004,0,0,0,2,60,0,0,0,.5,0,0,.25,-1.3862944,0,0,0,0,0,0,,2.3025851,2.9957323,3.027231,3.0726933,3.6888795,3.9889841,3.6888795,0,0,25,50,51.599998,0,0,5.6000004,-1.6000004,31.360004,0,0,0,0,0,2,0,0,0,0,1,16,0,66,24.75,1,15,3,25,0,0,0,18,66,11,76,3,20,,,,40,0,0,-30,-14,.0062500001,.34999999,.1,40.56675,20.02626,,,,,.68666667,.10666668,.031666666,,,.31333333,.10666668,.031666666,1,1,1,40.56675,20.02626,4,1,1,.51599997,19.639999
12,2,2,0,30,42,0,49,20,50,12,50,30,31,22,cp,1,19,DRAMA,5,100,47,4,9,10,"Some people bid more than the ticket was worth, so I couldn't begin to explain that. I suppose they misunderstood the rules.",70,-1,-1,1,0,0,2,12,4,"I kept the credit amounts to whole- or half-dollar increments in most cases. I didn't want to bid more than five dollars, as that would be a large loss. My bid amount ($0.50-$4.50) was based on the probability of a successful lottery ticket.",$1.50 is a manageable loss and 25 credits aren't worth a big risk.,"It's the middle of the road choice. I have a guaranteed probability, and my minimum possible win (6) and maximum possible win (90) are both respectable.",I am utilizing the same reasoning I used above.,21,0,2,46,10,,4,18,18,21,21,24,,10,40,40,30,14,66,1,40,40,10,.083333336,2,.5,16,2.4367967e-08,20,19.040001,18.4,-7.0400009,-6.3999996,-8,1.6000004,0,0,0,2,60,0,0,0,.5,0,0,.30000001,-1.2039728,0,0,0,0,0,0,,2.4849067,2.9123507,2.946542,2.9957323,3.6888795,3.9120231,3.6888795,0,0,30.000002,46,47.600002,0,0,4,-1.6000004,16,0,0,0,0,0,6,0,0,0,0,1,10,0,0,22,1,12,1,22,0,1,0,14,27,15,58,4,30,,,,40,0,0,-28,-10,.0075000003,.25,.1,38.115238,18.14892,,,,,.66333336,.056666672,-.21666664,,,.33666664,.056666672,-.21666664,1,1,1,38.115238,18.14892,4,1,1,.47600001,18.040001
13,2,2,0,12,25,20,27,34,31,0,32,34,35,23,cp,1,24,Mathematics,10,5,47,4,0,10,"If they are smart, they would forget emotions and decide based on probability and game theory.",70,0,0,1,0,0,2,12,4,Calculated the expected returns with different probabilities :),Because PROBABILITY!!!!!,I can only choose based on the number of rounds!,same as above,45,0,2,28,10,,2,0,0,0,70,70,,11,0,40,34,14,66,1,40,40,-8,.07692308,3,.33333334,16,.00019745568,12.8,11.84,11.200079,-11.84,-11.200079,-12.8,1.5999212,0,0,0,2,60,0,0,0,.33333334,0,0,0,,0,0,0,0,0,0,,-4.6051702,2.4159207,2.4714837,2.5494452,3.6888795,3.4657359,3.6888795,0,0,0,28.000196,29.6,0,0,-3.1999998,-1.5999212,10.239999,0,0,0,0,0,0,0,0,0,0,1,11,0,0,22,1,12,2,22,0,1,0,6,39,19,22,2,20,,,,40,0,0,-40,8,0,-.2,.1,26.015665,10.01314,,,,,1.8666667,.37666667,.49833339,,,-.86666667,.37666667,.49833339,-1,1,1,26.015665,10.01314,4,1,1,.296,10.84
